Name,Description,Template,Words Used,Important Words,word1,word2
InsideSherpa,online courses for large companies to train and then hire college students ,6,"inside,sherpa",,"hire, college, courses","train, large"
InterPrime,cash management made easy ,6,"inter,prime",,easy,management
INKHUNTER,augmented reality mobile app to try and buy tattoos ,5.1,ink,,tattoos,"app, reality"
Landed, helps essential professionals build financial security near the communities they serve our flagship product is sharedequity down payment support for public school educators so they can access a traditional mortgage and buy a home ,1,landed,,"near, down, flagship, access",
Latchel,24/7 emergency maintenance department for property managers and landlords  ,6,"latch,el",,"emergency, property",
Lumos, is an ai powered search tool for doctors that gives direct answers to clinical questions using trustworthy sources ,4,,,"powered, sources, clinical, tool",
Mage,stock market for magic: the gathering ,1,mage,magic,"magic, market, stock",
Team Mobot, is an ondemand mobile app qa service that uses robots to test on actual devices ,3.1,team,"mobile,robots","app, ondemand, test","robots, mobile"
Thrive Agric, helps farmers in africa access finance best practices and large produce buyers like unilever and nestle ,3.1,thrive,,"best, large, finance, buyers","farmers, africa, produce"
Memfault, builds developer tools for firmware engineers ,6,"mem,fault",,,"tools, engineers"
Bot MD,ai assistant for doctors ,3.1,bot,,ai assistant,doctors
Mudrex,algorithmic trading with no code ,6,"mud,rex",,"algorithmic, trading, code ",
MyScoot,airbnb for home hosted social events  we help you meet new people in your city  ,6,"my,scoot",,"people, hosted, home","new, help, events"
Nabis, ships can products for brands to retailers ,6,"nab,is",,"ships, product, retailers, brands",
NALA,internetfree payments for africa ,4,,,"internetfree, payments, africa ",
Nowports, is a digital freight forwarder shipping ocean containers to and from latin america ,6,"now,ports",,"forwarder, digitial","shipping, ocean, containers, freight"
Numero,modern financial software that powers our democracy ,1,numero,,"financial, software, modern",
Okteto,the missing application development platform for kubernetes ,6,"ok,to",,"kubernetes, ",
Our World in Data,open access research and data visualization on global development ,2,"our,world",",,data","open, data","access, global"
