Name,Description,Template
Watsi, is the first global crowdfunding platform medical treatments ,6
Wefunder,kickstarter equity  we let anyone invest little      in startups  we connect startups with  street team  of passionate small investors eager to help evangelize ,6
Wevorce,changing divorce good by making it way less horrible experience kids couples and attorneys ,6
Zenefits,hr small businesses  onboarding payroll and benefits ,6
Advano,s silicon nanoparticles dramatically increase the energy density lithiumion batteries       without sacrificing battery life or increasing the battery cost better batteries iot consumer electronics and evs ,4
bxblue, is marketplace people with guaranteed income in brazil this market has    million people that borrow over    billion yearly  growing     yoy  ,5.2
muzmatch,where    single muslims meet ,5.2
Arc,aerial videography ,1
Assorted Bits,a mobile calendar all the fun stuff you do with friends ,2
BackerKit, is crowdfunding software that helps project creators manage their      biggest fans  ,6
Benchling,collaboration   data management platform life science research ,6
Binary Thumb,redesigning spreadsheets the mobile world ,2
Boosted,simple fun and fast electric vehicles ,4
Bufferbox,the future of package delivery we are building network of automated selfserve kiosks that allow consumers to receive parcels      convenient locations say goodbye to failed deliveries ,6
Canopy Labs, automates customer analytics small and mediumsized businesses we are developing customer data platform which provides product recommendations propensity models and marketing funnel analytics ,2
Celery, is platform preorders accept preorders easily and crowd fund on your own website  ,1
Clever,developing applications education is data nightmare 's apis make building on top of student data easy developers ,1
Coco Controller,we're building tactile gaming controller mobile phones ,2
Coinbase,buy and sell digital currency,6
Collections,finder the cloud ,1
Credictive,attribution metatags online content ,4
Pyka,pilotless short takeoff and landing electric airplanes large enough to carry humans we're starting with autonomous crop dusting ,4
DataNitro,we speed up excel ,6
Double Robotics,telepresence robots ,2
Dreamforge,simple  modeling software  printers ,6
Easel, is visual design tool built the web since the web is viewed in browser we believe it should be built in one too ,1
Eligible,healthcare eligibility api,1
Everyday me,  record your life store it forever   ,2
FileStack,we enable website developers to hook into various online content sources  dropbox facebook github gmail et al  with single line of javascript thinking of dealing with files or oauth? talk to us first ,6
Flightfox, is humanpowered travel management service we use deep technical analysis to maximize savings convenience and comfort companies and individuals we also specialize in optimizing company spending and loyalty benefits ,6
Framebase,api video ,6
Bayes Impact,nonprofit that brings data science solutions to big social problems ,3.2
Routable,"we're building the simplest way to send and receive businesstobusiness payments

if you're thinking  úare they replacement to billcom ù you're spot on  ",5.2
GetGoing,we are building  transparent opaque  airfare and hotel booking site  we work with number of top airlines and hotels to offer discounted airfare and hotel rates  think priceline's name your own price  without hiding the details of the booking ,6
GoScale,server management service ,6
Hipset,the best way artists to release new music and videos ,6
Hiptype, is marketing and analytics platform ebooks we can visualize where in book readers most often annotate and highlight and where they lose interest and stop reading ,6
Rigetti Computing,quantum coherent supercomputing ,3.2
Imgfave,a fun image sharing community ,4
Sunfolding, builds next generation infrastructure solar farms  by replacing mechanical parts with air we eliminate installation complexity and maintenance headaches leading to much lower endtoend project costs over the lifetime of the farm ,6
Hivy,"an endtoend platform office management 
we enable office management teams to gather employees' requests collaborate on projects and manage their vendors  ",4
TAXA Biotechnologies,we enable cheaper faster and better genetic engineering of plants we offer platform both service and use it internally to develop own engineered plants eg fragrant moss currently raising money on,3.2
Kippt, is like github your online information we help you to build your and your team's professional library of online resources ,4
KidPass, is the leading marketplace parents to discover and book all types of kids activities and services ,5.2
LeanMarket,mobile advertising ,6
Lever, is an applicant tracking system   talent crm it effortlessly fits the hiring needs of companies today ,1
Markupwand,tbd ,6
Mattermark,"big data meets startup investing

the best tool tracking and benchmarking more        startups around the world ",6
Mattermost,open source selfhosted slackalternative ,6
Kudi,making financial services accessible and affordable all africans ,4
Noora Health,training patient families with health skills to improve outcomes and save lives ,3.2
MDacne,an app that analyzes your selfie and delivers custom acne treatment  ,5.2
NewsBlur, is personal news reader that brings people together to talk about the world new sound of an old instrument ,6
OctaveWealth,the honest      helping employees keep more of their retirement savings ,6
Parallel Universe,helping developers scale their applications with ease  ,2
Partnered, is digital platform automating business development partnerships between brands and startups ,1
Pixate,"mobile application prototyping now part of google
 ",6
Plivo,apis voice calls and sms ,4
Profig,the phone system businesses manage everything your company phone system to outbound sales call centers to inbound customer support call centers all single dashboard  ,6
Rainforest," simple testing

the fastest easiest way to test your website say no to manual qa  ",4
ReelSurfer,clip and share any video any website ,6
RegistryLove,crossstore wedding registry ,6
Mednet,network of doctors helping each other treat cancer ,5.2
SmartAsset,the easiest way to make and understand important personal finance decisions ,6
Soylent, is simple nutritious and affordable food that possesses all the essential ingredients body needs to be healthy ,6
Sparkboard, helps large unwieldy crowds selforganize into small focused teams ,6
NanoNets,easy to use machine learning api needs    times less data ,6
Streem, we built      native win mac filesystem to access files in the cloud directly via native desktop apps with no syncing required;     an onthefly adaptive bitrate video transcoder web mobile streaming ,4
Study Edge,supplemental educational resources through web and mobile ,2
Submittable, is the best way organizations to create promote and manage their calls submissions applications and other opportunities  ,6
Terark,fastest storage engine with the best compression we enables direct search on highly compressed data making databases    faster random read with   smaller storageresulting in larger scalability with lower cost big data cloud applications ,5.2
Svbtle,curated blog network ,4
Tastemaker,interior design marketplace and online retailer ,6
Tizeti,isp africa ,4
Thread, makes it incredibly easy to dress well we do this by giving people their own personal stylist free they help you save you time and find things that look amazing on you shopping will never be the same again ,1
Vinsight,"we are building the world's realtime source of commodities supply through yield forecasts on crops
 ",5.2
Athelas,rapid blood diagnostics through deep learning we're primarily targeted at bringing new powerful tools to oncology patients through modern machine learning we are fda cleared and rapidly scaling customer base ,1
Meesho, is the simplest way indie sellers in india to setup manage and grow their business on facebook and whatsapp  ,4
Viacycle," makes simple inexpensive bicycle sharing systems that allow automated bike rentals using mobile phone think zipcar bikes but more fun and even easier to use
 ",6
Virool, provides native video advertising experience the biggest publishers on the web  ,4
VoiceGem,a simple and versatile voice messaging platform ,6
Zapier, connects thousands of saas apps with customizable workflows via an easy to use editor ,6
Zentail,make commerce simple manage all of your sales channels product information inventory and orders in one central system ,6
ZeroMailer,easy mailing lists ,6
Opsolutely,automated deployments software teams ,4
Vidcode, is crossdisciplinary coding platform teens to learn javascript ,5.2
Astranis,we're building small lowcost geostationary telecommunications satellites   satellites will help bring online the   billion people who are without internet access ,4
Amplitude,product analytics ,1
Ark, organizes the world's social information  ,1
CareSkore, helps healthcare organizations better manage patient populations ,5.1
BarSense,kid's first smartphone with webbased parental controls ,6
BookSolid,  bards is the opentable tour operators ,6
Brace,backlift allows frontend only developers to build entire websites and deploy them instantly via dropbox  ,1
Compgun,sales commission software that grows revenue ,5.2
Chute,discover the photos and videos people are taking of your brand or products on any major social network get rights to that media and publish it wherever you see fit billboard to banner ad we call this process visual marketing automation ,1
CircuitHub,electronics factory automation ,6
CleverDeck,collaborate with an artist to commission original artwork you'll live with and love the rest of your life ,6
CoderWall,assembly is web collaboration platform that enables users to develop apps widgets platforms and apis with the help of other users ,6
Couple,"app that connects two phones and creates private
timeline to share things with your girlfriend boyfriend it's
somewhere between facebook timeline your relationship and sms
so you have more personal way to communicate ",1
Documents Me,clientside encryption your devices and the cloud ,2
EngageInbox,givespark was celebrity fundraising platform ,6
GitPrime,management platform software engineering ,5.2
FamilyLeaf,bring your farflung family closer together stay in touch with your family members' contact information photos and updates  ,6
FarmLogs,software that helps farmers monitor their operations and operate more profitable businesses also building nextgeneration commodity hedging platform ,6
Flutter," combined computer vision technology with the builtin webcams in laptops ipads smartphones and tvs to let users control these devices with gestures facial expressions hints and bodylanguage   became part of google in oct     
 ",1
Fond, provides saas solution rewards and recognitions  ,4
Glider,we filter distracting emails away your inbox ,1
Grouper,we set up drinks between   groups of friends    guys and   girls ,1
Gusto,humans aren't resources  reimagines payroll benefits and hr by automating the most complicated impersonal business tasks and making them simple and delightful ,1
HackPad,a realtime wiki getting things done ,6
Hipmob,customer communication ios and android developers  an inapp support portal and inapp live chat; all native code ,6
HireArt,we simulate the work environment to find out who's best the job  ,6
Instabug,"inapp feedback and bug reporting mobile apps we're helping apps squash bugs in their beta apps and engage users in their production apps
if you're building mobile app we'd love to talk ",5.2
Jellyfish Art, develops jellyfish aquariums and supplies them with live jellyfish and accessories ,2
LendUp, is socially responsible company on mission to redefine financial services the emerging middle class  builds loans and credit cards paired with educational experiences to help people save money and improve their financial health ,6
Loom,cloud storage photos and videos,1
LVL6,we make mobile mmos  ,4
Make School, is redesigning college the   st century students learn liberal arts and computer science pay tuition percentage of earnings and graduate to jobs at yc companies ,2
Marft, creates embeddable machine learning models application developers users submit data by web api and receive optimized models implemented in language of their choice ,4
MatterPort,turn physical objects and environments into  models in seconds ,6
Medigram,we are making hipaacompliant groupme app doctors to communicate in the hospital an alternative to pagers   ,6
Mamabear, give you perfectly configured laptops and they take care of them forever ,5.2
Minefold,simple multiplayer game servers ,6
mRelief, has built an easytouse platform on web and sms lowincome americans to find out if they qualify the most important social services such food stamps ,5.2
Per Vices, corporation builds softwaredefined radio  sdr  products crimson platform provides the flexibility and bandwidth required to support various radio applications used within the infrastructure defence and telecommunications industries ,2
PhysioHealth,an enterprise health benefits platform that rewards employees living healthy and decreases healthcare costs ,6
PlanGrid,we build mobile applications the construction industry ,6
Thunkable, is drag and drop tool to build native android and ios apps ,5.2
Rescale,cloud big compute platform ,6
Ridecell, is the leading saas operating system to launch operate and scale autonomous and new mobility services including carsharing counterless rentals ridesharing and autonomous services ,6
Roundup,event organization your phone ,1
Screenleap,simple screen sharing allow people to view your screen any device with browser also available service through api companies that want to add screen sharing to their products ,6
SendHub,simple business sms smbs to large enterprise ,6
Unima, created lab on paper technology which diagnoses infectious diseases faster and at lower cost available lab tests we are solving the problem of lack of access to diagnostics   billion people living in resource limited settings ,4
Shopular,deals coupons   cash back your favorite stores ,6
SlidePay,banking and payment platform apis  october      ,6
Socialcam,the easiest way to share videos with friends and family  ,6
SolidStage,sysadmin service we make deploying configuring monitoring and scaling in the cloud simple  ,6
Afrostream, is netflix africanamerican and african  content serving the european and african market  targets the   people of african descent in europe and    africans in subsaharan africa  ,6
Tap to Learn,games education ,2
The Muse,ultimate career destination offering exciting job opportunities expert advice and peek behind the scenes into fantastic companies and career paths  ,2
Tilt,mobile crowdfunding  the easiest way to collect fundraise and sell with your community  ,1
WireOver,really secure file sending big files ,6
YourMechanic,"car repairs reinvented 

a mechanic comes to your home or work to fix your car
b save       by working directly with mechanics instead of shops
c total transparency and money back guarantee ",6
GovPredict,bloomberg government data ,5.2
Zipio,deal search service ,6
Instawork, is the ondemand staffing app hourly workers and hospitality businesses ,5.2
jEugene, highlights undefined terms and unused definitions in legal documents ,5.2
Apollo,we make  the leading graphql implementation  we are also the team that built meteor the javascript framework  ,6
Automatic, connects your car to the rest of your digital life ,1
Caviar,uber food ,1
Le Tote,subscription service women's apparel   accessories  ,3.2
Jopwell, connects black hispanic   latino and native american students and professionals with opportunities at america's leading companies ,5.2
Clutch,an easy to integrate library native ios applications designed to help you develop faster and deploy instantly ,1
Codecademy, teaches the world the skills they need to get the jobs they want  ,6
Compose,"we make it easy to run databases
postgresql redis mongodb elasticsearch and rethinkdb ",1
Klarismo, turns your body into an interactive experience we built fully automated  pipeline quantitative medical image analysis that unlocks the nondiagnostic value in mri scans and empowers patients to take fantastic journey into their body ,4
Debteye,automate credit counseling ,6
Draft,making  super simple version control and collaboration writers,1
Dubjoy, translates and voiceovers your video to any language ,6
Embark,public transit apps,1
Firebase,app success made simple an app platform to develop highquality apps grow your user base and earn more money ,6
Xendit, is mobile wallet designed to serve peertopeer payments in southeast asia ,5.2
Freshplum,analytics with action ,6
Genius,crowdsourced explanations of song lyrics ,1
GlassMap,location sharing  ,6
GoCardless,replace credit cards online ,6
Fullstack Academy,immersive effective efficient code education ,3.2
HackerRank,programmer iq ,6
Hungry Labs,now part of snaplayer ,2
Imgix,responsive images service delivered by cdn ,4
Interstate,create   share product roadmaps ,1
Kicksend,send and print photo albums with people you love,6
Keychain Logistics,software that connects the supply side of companies that ship product with independent carriers that move product  ,3.2
LeadGenius, is an accountbased marketing and lead generation platform  uses unique combination of machine learning and human intelligence to help b marketing and sales teams find and connect with their ideal accounts  ,6
Leaky,online auto and business insurance   ,1
MarketBrief,generate stories sec filings ,6
MixRank,data platform sales advertising mobile web and business intelligence ,6
OneSignal, provides simple interface to push notifications   lets content creators focus on quality user engagement instead of complex implementation goal is to democratize push communication everyone  ,6
Opez,yelp service pros ,4
Origami,everyme and  were mobile apps helping you stay in touch with your favorite people,4
Pagelever,"facebook analytics   
 ",6
Parse, is the easiest way to build apps ,1
PayDragon,hyperlinking the real world ,6
Paystack,modern payments infrastructure africa ,6
Perfect Audience,selfservice display advertising saas and online retail ,2
Picplum, is photo printing service that is the perfect addition to any family with young children ,6
Proxino,javascript proxy ,6
Quad, is where college students get things done ,1
Quartzy,marketplace life science supplies ,1
Realm,better data structures   no db ,1
CyberFend, delivers robust realtime web and mobile security by preventing account takeover synthetic signups and monetary fraud in addition 's botfender is the most comprehensive bot automation detection service available today  ,5.2
Ridejoy,longdistance carpooling marketplace shut down in early      ,6
Science Exchange,mission is to enable breakthrough scientific research we connect researchers and service providers through online marketplace and promote  scientific collaboration that will help improve the quality and efficiency of research ,2
Segment, is the analytics infrastructure that helps collect and organize data so businesses make better decisions ,1
Snapjoy,photo library ,6
Streak, transforms gmail into customizable crm and process management tool products service thousands of businesses we're growing fast we're profitable and we're still small team ,1
Stypi,realtime collaborative coding ,6
TapEngage,tablet ad network    ,6
Userfox,user retention service  drip email ,6
Vapor,invideo advertising ,1
Verbling,language learning through video chat ,6
Videopixie,marketplace video production services  we help you hire the best video creators your projects   just post project and you'll receive     bids preselected video teams  you pick the team with the best idea style and price ,6
eBrandvalue,"realtime nielsen ratings brands
accelerate marketing and product through social
inform customer interactions find market opportunites and spot industry trends faster science ",5.2
Zenbox,brings dozens of saas's  mailchimp stripe shopify salesforce etc  into gmail ,6
Zeus,techenabled property manager focused on corporate rentals ,6
Zigfu,layer above kinect ,6
GitLab," is the first single application software development security and operations that enables concurrent devops making the software lifecycle      faster and radically improving the speed of business
 ",5.2
AppHarbor,net cloud platform service ,6
Giveffect,fundraising volunteer and donor management saas nonprofits ,5.2
Assembled,pivoted to tenxlist professional network of top college engineers ,1
Balanced,payments marketplaces ,1
Beetailer,facebook stores ,6
Close,inside sales and sales automation crm smbs ,1
Comprehend,saas to increase speed and quality of clinical trials ,1
Convore,hosted irc and so much more ,6
Custora, is predictive analytics platform ecommerce marketing teams we help retailers find highvalue customers and keep them coming back ,4
Makrwatch,we connect brands with their audience through youtube creators formerly themidgame ,5.2
Earbits,"google adwords music  allowing bands and labels to bid airtime and have their music streamed to qualified audience
contact the founders directly  founders  no longer works ",6
FitFu,new projects ,6
Fivestars,marketing automation small businesses ,6
Flotype,third generation of web apps ,6
GOAT,sneaker marketplace ,1
HelloSign,the    esignature software small and midmarket businesses ,6
Hotspots,realtime analytics  acq by twtr       ,6
Humble Bundle,pay what you want awesome games and other content while giving to charity ,2
Hyperink,ebook publisher ,6
Inporia,fashion shopping email list ,6
Insight Data Science,turning phds   engineers into data scientists   data engineers ,2
Mobydish, techenabled service allowing anyone to place catering order online to instantly feed groups    to     pl we select the best restaurants train drivers   we're proud to have the best customer service in the space ,5.2
Lanyrd,imdb of conferences ,4
Mailgun,email api service ,6
Omniref,"sticky notes code

 we're building communitypowered codebased reference programmers  ",4
Mino Games,mobile games company ,2
OrderAhead,order ahead pickup ,6
Pebble,watch that helps you get shit done and limit the mayhem of notifications ,1
Qventus,we help hospitals run efficiently by predicting department resource needs and providing front line staff with realtime resource allocation guidance ,5.2
Siasto, is collaboration tool designed smbs who use google apps dropbox and box ,6
SimplyListed,sell your stuff ,6
StoryWorth, is the most meaningful gift your loved ones  makes it easy and fun them to share stories with their family every week at the end of the year they get them all bound in beautiful hardcover book ,6
Talkable,online store referrals ,1
TalkBin,instore feedback ,6
TellFi,google voice business ,6
TrustEgg,trust funds ,6
Tumult, is building the next generation of apps web design first app is hype the html  animation builder os  http   com hype  ,1
Tutorspree,tutor marketplace ,6
Smarking,"enable hassle free parking and highly efficient urban mobility
 ",5.2
Smyte, stops bad actors on social networks and marketplaces ,4
You Got Listings,residential rentals database brokers and landlords ,2
ZeroCater, is the    way companies provide familystyle meals their employees ,6
Yhat,endtoend data science lifecycle management platform  ,5.2
Cognito,frictionless modern identity verification that starts with just phone number ,1
Flytenow,ride sharing small planes ,5.2
AnyList,the best way to create and share grocery shopping list and organize your recipes ,6
Brushes,ipad drawing software ,1
Chartio, empowers anyone in company  not just data analysts  to explore and understand their data  we're profitable with almost     customers including the ny times ibm optimizely ea postmates doordash ,6
Chirply,crowdsourced design marketplace paper goods ,6
Docker,app store server configurations ,1
HauteDay,gaming meets women's shopping ,6
Fridge,disposable social networks ,1
Future Advisor,the online financial management service everyone  advises and manages all of customer's financial goals together to help everyone achieve better financial future ,2
Gantto,better microsoft project ,4
GazeHawk,eyetracking using webcams ,6
Ginza,seo   content marketing analytics enterprisefocused saas with customers in the us japan and other parts of asia ,4
Habit Labs,friends motivate one another  i'll do if you do ,2
MTailor,get measured by your phone in under    seconds perfect fitting custom clothing ,5.2
Homejoy,platform home service professionals ,6
inDinero,financial dashboard businesses ,6
Ravti,software to track manage and procure hvac commercial real estate   ,4
SFOX,cryptocurrency trading platform ,5.2
MessageParty,local chat ,6
Opzi,q businesses ,4
PadMapper,mapbased apartment search ,6
PagerDuty,notify you about server troubles ,6
Mth Sense,we're mobile ondevice profiling and adserving platform initially focused on inapp ads we profile the user based on device data but ensure user privacy by keeping the data ondevice ,3.2
Presto,tablets on restaurant tables so guests can order pay and play games their seat without waiting ,1
uBiome,using big data and crowdscience to unlock the secrets of the human microbiome ,5.2
VizeraLabs,fabric projector furniture sales ,5.2
Ready For Zero,help people get out of debt simplified personal debt and credit management,2
Recurse Center,"the  is selfdirected communitydriven educational retreat programmers with an integrated recruiting agency

we believe people learn best when they take control of their own education and are free to explore their interests ",2
Zenamins,personalized health company doing customized vitamin packs on subscription and creating platform consumable health products ,5.2
Emailio,mobile email app ,5.2
GBatteries,enabling liion batteries to charge ultra fast without compromising cycle life ,5.2
Upbeat,  building the next generation of public relations  pr  ,1
Whereoscope,locationaware smartphone application that enables parents to keep track of their children without battery drain ,6
Memebox,full stack beauty ecommerce ,6
Povio," does product design and software development or helps you scale your team with dedicated remote engineers 
    yc companies used  so far ",5.2
All Screen,connecting users with engaging video content across the web ,2
Answerly,each day we tweet the most entertaining interesting and informative questions and answers across the web twitter and http   tco lbljstdh ,6
Bitplay,effortless video meetings,6
Cardpool, is gift card exchange service individuals to buy sell and¬†trade their new¬†or preowned gift cards ,6
Creative Market,marketplace readytouse design assets independent creators around the world,2
Crocodoc," allows developers to embed highfidelity pdfs powerpoints and other documents into their web and mobile apps

to date we've processed   billion documents customers",6
Cue, is web and mobile app that pulls information the users' online accounts to present an overview of their day ,1
Citus Data,realtime big data postgresql ,3.2
Embedly, helps publishers and consumers manage embed codes more hundred websites and apis ,6
Yumbin,app replaces office vending ,5.2
Fabricly, is an online marketplace enabling designers to submit designs and customers to pick and buy apparel collections ,6
Fithub, provides streamlined communication mobile focused workout and nutrition plan delivery system ,6
Gamador, develops social games and offers an analytics platform ,4
7cups,  cups is an emotional support service that matches up people that need support with active listeners and therapists ,5.2
Audobox, is developer and user friendly tool inapp feedback ,5.2
LaunchHear, was startup attempting to make pr scale in the same way that google adwords made advertising scale  here is the postmortem  https   wwwfwdeveryonecom gk hmirszmruxe rh sq pooling ,6
Mertado, is an online social shopping platform that allows consumers to discover and buy products communities they frequently visit ,6
Estimote,indoor location api developers ,5.2
Newcope,virtual goods commerce ,6
Newslabs,coming soon ,6
imHome,we're creating technology to make families happier with messaging app the family ,5.2
Ixiplay,"engaging expressive   android hackable robot buddy playful interaction

 ",5.2
Optimizely,a testing ,6
OwnLocal, automates marketing over        smbs through      local media partners in north america australia and uk ,6
Zencoder,"video encoding api
open source video player  videojs  ",6
Jerpix,digital asynchronous collectible card game ,5.2
AdThrow, offers data processing pipeline realtime ad targeting ,6
Alphacare,a universal mental healthcare system psychedelic medicine ,6
BUMP,social p marketplace gen ,1
CarWoo,the best way to buy new car ,6
DailyBooth,the daily picture taking social network ,6
Directed Edge,product recommendations ,2
